,text
118,Compose means to make up the whole : Example : The parts compose the whole . I 'm not sure to make the parts of the parts .
119,"The whole is composed of ( not comprised of ) the parts : The company comprises three business units . The whole composed of the parts is composed of the parts , `` The company can units three business , units . ''"
120,The three business units compose the company . The three business units is compose the company .
121,"The company is composed of three business units . I believe the company is composed of three business , however ."
122,Each Other and One Another Each other refers to two persons or things : Example : The two executives respected each other . Each and Each other refers to two people or the two people .
123,One another refers to more than two : Example : The four competitors respected one another . One another refers to more than two : For : : The four competitors respected respected .
124,"Farther and Further Farther refers to actual distance : Example : farther away from here Further refers to figurative distance , as in a greater degree or extent : Example : nothing further from my mind i.e . I am not sure and is similar to nothing more than in a greater degree ."
125,/ e.g . I am uncertain .
126,Use a comma before and after i.e . Please use a comma before and after i.e .
127,and e.g . I believe .
128,and in running text set them in Roman type . I am in running text set and in running text .
129,"is from the Latin id est , meaning that is : Example : They chose the best blog around , i.e. , they chose the Acrolinx blog . The name of the band is known as `` They chose the best blog around '' . I can not believe they chose the Acrolinx ."
130,"is from the Latin exempli gratia , meaning for example : Example : A variety of dogs , e.g. , cocker spaniels and poodles , are bred here . Do spaniels spaniels and meaning for example ?"
131,"Influence , Impact and Affect Influence means to alter by indirect or intangible means . It depends on Impact , Impact and Affect ."
132,"It implies a force that brings about a change within the object of the influence , as in nature or behavior : Example : Geopolitical factors influenced consumer confidence . A force that brings about a change of the influence of the influence , or as in nature , as in nature , or behavior : Marilyn ."
133,"Impact means to impinge , make contact or strike forcefully , or to have a major effect on : Example : The tech bubble could impact stock market performance . Excuse me , means to impinge or strike forcefully ."
134,Affect can mean to produce a material effect upon . It can mean to produce a material effect upon it .
135,It implies the action of a stimulus that can produce a response or reaction . The action of a stimulus is a response .
136,"Example : Trauma can affect our ability to think straight . For example , our ability can affect our ability to think straight ."
137,"Last and Latest Last means after all others : Example : The last meeting of the year will be held in December . It will last last after the last meeting , the last meeting of the year will be held in December ."
138,Latest means most recent : Example : The latest report came out in November . It means most of the recent report on November .
139,Over and More Than Over should be used only to denote spatial relationships : Example : Lob the ball over your opponent 's head . Over and even to denote Over only to denote Over your opponent 's head .
140,Over may also be used to describe age : Example : The house is over 60 years old . The house is from the age of 60 years old .
141,More than is used to mean exceeding : Example : The company has more than $ 2 million in assets . More than is used to mean : The company has more than $ 2.00 in assets .
142,"Note : Over may be used in place of more than to avoid awkward repetition of more than . Note : Over may be used in place of more than to avoid awkward , repetition ."
143,"Example : There were over 200 delegates from more than 11 countries present at the conference . For example , there were over 200 delegates from more than 11 countries present at the conference ."
144,"Presently and Currently Presently means soon , in a short time . It can happen soon , in a short time ."
145,"Example : He 'll be arriving presently . For example , he will be going ."
146,Currently means now . Currently means now .
147,"Example : We 're currently in Colorado . For example , we are currently in Colorado ."
148,"Principal and Principle Principal can be an adjective or a noun . Principal and also Principle , or Principal ."
149,"As an adjective , it means primary ; as a noun , it means the head of an institution or the amount of money borrowed or invested . As an adjective , it means primary , as a noun , it means the head of money or money borrowed or invested money ."
150,Examples : Our principal development languages are C++ and Java . I believe the languages of languages are C++ and Java .
151,The school principal sent for me . The school principal sent me for me .
152,My investment guarantees that I wo n't lose my principal . My investment is that I wo n't lose my principal .
153,Principle means a fundamental value or premise . It means a fundamental or premise .
154,Example : The nation was founded on the principle of equality before the law . For example : The nation was founded on the principle of equality before the law .
155,Memory hint : `` the principal [ of the school ] is your pal '' Raise and Rise Raise is a transitive verb and must have an object : Example : Raise the bar . Do you know the principal of the school Raise and Rise Raise is a transitive ?
156,Rise is an intransitive verb and connotes self-action : Example : The sun rises in the east . Rise is an idea verb and connotes connotes self-action .
157,"Than and Then Than is used in comparison , normally introducing a clause : Example : Prices are lower than they were . Then and Than Than in comparison , normally introducing a clause ."
158,"Then refers to time : Example : then and now Toward and Towards These words are interchangeable , but toward is preferred in American writing . As time as example : Wilmer : Besides , then and now Toward , These words are preferred , but in American writing it is preferred ."
159,We 'll continue to build out our list of problem words and publish another post again soon ... er… presently . We will continue to build out our list of problem soon and publish another post soon .
160,"In the meantime , what are some of the problem words that either you or others you know struggle with ? In the meantime , what are some of the problem that either you or others you know struggle with ?"
161,"Part of being a good content marketer is being resourceful and knowing what tools are available that can help you get your job done faster or more cost-effectively . In my opinion , a good content marketer is being resourceful and knowing what tools are available or more ."
162,"After all , we could all do our jobs better if we had infinite budgets . We could all do our jobs better if we had already budgets ."
163,"But the reality is that we do n't so we need to find creative ways to get things done . However , the reality is that we do not need to find creative ways to get things done ."
164,"With that in mind , below we 're sharing six of our favorite online tools that are either completely or partially free or at least offer free trials . With that in mind , it is below we 're sharing six of our favorite online tools that are partially partially partially partially partially partially or not ."
165,They 're all great resources that we 've found very useful and that we believe could help you with various aspects of your day-to-day job . They are all great resources that we have found very useful and that we believe could help you with various aspects of your day-to-day .
166,"1 ) Get All of the Icons You Need with The Noun Project Have you ever needed an icon for a presentation , eBook , or infographic ? You should get all of the Icons you need with the Noun Project Have you ever needed an icon for a presentation ?"
167,"If so , The Noun Project is for you . The Noun Project is for you ."
168,It 's a website that aggregates and catalogs symbols and icons that graphic designers from around the world have created . It is a website that aggregates and catalogs symbols and graphic designers .
169,"You can get some `` public domain '' icons for free , and buy the rest for $ 1.99 each or get access to all of them for a nominal monthly fee . You can get some `` public '' domain , domain domain , for free , and buy the rest for a nominal fee ."
170,"As visual content becomes increasingly popular , having access to a library of high-quality icons can be extremely useful . Even visual content becomes popular , having access to a library of high-quality access can be extremely useful ."
171,"2 ) Make Your Own Infographics with Piktochart Speaking of visual design , have you heard of Piktochart ? Do you know with Speaking design with Piktochart , have you heard of Piktochart ?"
172,It 's a tool that allows you to easily create infographics using various themes and images . It is a tool that allows you to easily create infographics and images .
173,"Now admittedly you 're not going to be able to design something unique using a tool like this , but if your goal is to start creating infographics and you do n't have access to a designer , Piktochart is a great alternative . Now admittedly you are not going to be able to design something unique using a tool like this , but if you do n't have access to a designer , you can Piktochart ."
174,You can start creating infographics for free using a limited number of free templates or create a paid account to get unlimited access . You can start creating infographics to start creating access to a limited number of free access to get unlimited access .
175,3 ) Get a Quick Comparison of Keywords with Google Fight Ever wonder which search terms are most popular but have n't wanted to go to the trouble of or did n't know how to do a keyword analysis ? Get a lot of Keywords with Google Fight Ever wonder which search terms .
176,The solution you 're looking for might be Google Fight . The solution is that you are looking for Google Fight .
177,"Simply enter in two search terms , click the `` fight '' button , and let the two terms duke it out ( with a corresponding cute animation ) until you 're presented with a winner : the term that 's more popular in terms of global searches . Simply enter two search . Enter the `` fight '' and then click on the `` fight with a winner '' until you are presented with the winner ."
178,It 's a free tool and a quick and easy way to evaluate the relative merits of two different search terms . It is a free tool and a quick way to evaluate the relative to evaluate the relative is .
179,4 ) Find Out How Your and Your Competitors ' Websites Measure Up with Alexa With tools like Google Analytics it 's easy to get insights into how your website is performing . Find out what your and your
180,But that information may not be useful if you do n't have the right frame of reference . But that information may not be important if you do not have the right frame of reference .
181,That 's where Alexa comes in . That is where Alexa comes in .
182,"Simply enter any URL into the tool and you can instantly see the site 's global and local ranks ( based on page views ) , bounce rate , and time on site , among various other useful metrics . You can simply enter any URL into the tool and instantly see the site 's global views , and among other useful things , such as , metrics ."
183,"You can get this kind of information for free and , if you 're willing to shell out a few bucks , access to a whole lot more . You can get this kind of information for free and if you are willing to then shell a few dollars more ."
184,5 ) Discover How Effective Your Headlines Are with the Emotional Marketing Value Headline Analyzer The headline is often first and only thing that people see when they decide whether or not to consume your content . I am sure it is often the first and Marketing Value Value or not to consume your content .
185,"As a result , you 've got to make sure that they 're spot on . As a result , you have to be sure that they are on ."
186,"Fortunately , the Emotional Marketing Value Headline Analyzer can help . Believe the Emotional Marketing Value Value ."
187,It gives your headline a score ( anything that earns a 40 percent or higher is deemed to be effective ) based on the words that you have chosen by comparing them to a database of information about the relative emotional associations with each one . It gives you a score ( anything that earns a score ( anything that earns a 40 percent ) or comparing them to a database of information about the relative that you have chosen .
188,"While nothing beats testing to see if your headlines work , this tool is a free , easy way to get some feedback about how well your headline might work . While nothing beats to see if your headlines work , this tool is a free way to get feedback ."
189,"6 ) Capture , Annotate , and Share What 's On Your Computer with Awesome Screenshot Most of us know how to capture a screenshot of what we 're seeing on our computer 's monitor ( you can press the `` print screen '' button on your PC or hold down the `` shift , '' `` command '' and `` number four '' buttons on your Mac ) , but all that does is give you an image . 6 , Capture , and Share what 's On Your Computer with a great . You can press the `` capture a screenshot '' screen '' button on your computer , but all that does give you an image on your PC ."
190,"What 's so useful about Awesome Screenshot is that with the click of a button you can not only take a screen shot ( of either the entire page you 're on or just the section visible on your screen at that moment ) but also easily mark it up to draw people 's attention to specific parts . The lyrics are as follows : `` Awesome parts , Screenshot is that with the click , Screenshot is that with the click of a button , you can not only take a screen , of either the entire page you 're on or just the section '' ."
191,You can then either save the image to your desktop or save it as a link that you can send to others . You can then save the image to your desktop or save it as a link that you can send to others .
192,Every good content marketer has a few tricks and secret tools up his or her sleeves . I think all good content has a few tricks and secret tools .
193,We 've shared some of our favorites . We have shared some of our favorites .
194,Now it 's your turn to tell us about the one you 're using . It is your turn to tell us about the one you are using .
195,Have you ever heard of Amy Cuddy ? Have you ever heard of Amy Cuddy ?
196,"In addition to being a Harvard researcher and renowned social psychologist , she has the distinction of having delivered the second most watched TED talk of all time . In addition , to be a certain researcher and can not do a social psychologist , she has the most experienced psychologist ."
197,"With well over 20 million views and counting since it was published in June 2012 , that 's no small feat and worth checking out . After well , over 20 million views and counting since it was published in June 2012 ."
198,"Given that Acrolinx sells content optimization software , you may expect the topic of Cuddy 's TED talk to be content marketing or content management . About which Acrolinx content content optimization , you may expect the topic of Cuddy 's TED ."
199,"In fact , her 21-minute presentation is actually about something very different : In it , she offers what she calls `` a non-tech life hack '' about something very simple : your posture . Her posture is actually about something very different in it ; she is offers something different in it ."
200,"Now before you jump to conclusions or start to think that we 've lost our focus , just bear with us for a minute . Now before you jump to conclusions , or start to think that we have lost our focus ."
201,"We have a point ( and one we think you 'll care about ) , we promise . We have a point and one we think you will care about . We promise ."
202,"The whole premise behind Cuddy 's talk is that nonverbal communication like posture and body language not only influences how others perceive us , but also how we think and feel about ourselves . The whole premise behind who is talking is that nonverbal communication is similar to ourselves , but how others think and feel about ourselves ."
203,"In her presentation , she also succinctly describes how the way we carry ourselves can affect our behavior . In her presentation , she also succinctly describes how the way we carry ourselves can affect our behavior ."
204,"She explains , for example , how assuming a power pose ( think of the pose most athletes strike when they 're first to cross the finish line : chest out , arms extended into the air , head tilted back ) for just two minutes can positively influence testosterone and cortisol levels in the brain . For just two minutes , she explains how assuming a power pose ( think of the pose to athletes strike the finish line ) and cortisol in the brain ."
205,"Importantly , those are the hormones that drive dominance and regulate stress , respectively . It 's the hormones that drive dominance and stress ."
206,"When they 're at the right levels , people become more confident and relaxed , which leads them to be perceived as more powerful and confident . When they are at the right levels , people become more confident and relaxed , which leads them to be confident and confident ."
207,"In fact , Cuddy 's research has shown that by getting in the habit of striking a power pose prior to important meetings , interviews , or other social interactions ( preferably at home or in the privacy of an empty restroom , elevator , or office ) can improve how those situations turn out . In fact , strange research is research that by getting in the habit of striking in the habit of striking at home or in the privacy of an empty restroom , and how those situations are turn out ."
208,"She goes on to explain that our body has the ability to change our minds , that our minds in turn can change our behavior , and that our behavior can change the outcomes of all sorts of things . She goes on to explain that our body has the ability to change our minds , our minds , and that can change the situation ."
209,"Here at Acrolinx , we got to wondering if the same effect could be applied to writing . At Acrolinx , we must wondering if the same effect could be applied to writing ."
210,"Surely your mindset plays a big role in everything you do , including how confidently you write . I am sure your mindset plays a big role in everything you write ."
211,"And , according to this wonderful SlideShare presentation from Doug Kessler at Velocity Partners , `` the magic ingredient of great marketing is confidence . '' Additionally , according to this wonderful , at the same level of Doug Kessler at Velocity , it 's all of great marketing marketing ."
212,He goes on to say that your readers want your writing to be confident : `` we want to be taken places . '' He goes on to say that your readers want your writing to be confident .
213,"So if you go into a writing project feeling relaxed , confident , and powerful , wo n't that positively affect your writing ? If you go into a writing project , relaxed , confident , and powerful . Will you not positively positively affect your writing ?"
214,"The result would not only be an easier writing process , but also better content that 's more authoritative , convincing , and impactful . It would not be easier writing process , but also better content that is more convincing , convincing , and impactful ."
215,"By giving your content the backbone it desperately needs , you can take a stand and communicate your messages more effectively . By giving your content the backbone , it desperately desperately needs , you can take a stand and communicate more about it ."
216,And is n't that exactly what every writer wants ? Is it exactly what every writer wants ?
217,To communicate their messages to their target audience and get them to take some sort of action ? To communicate their messages to their target audience and get them to take some sort of action .
218,"When your writing is compelling , demonstrates your knowledge , and conveys your confidence , it engages your audience and inspires trust . When you are writing is , it is why your knowledge is ; you are knowledge , and your confidence and trust truly trust ."
219,"That in turn positively shapes their view of your content and of your company . In turn positively , they resemble your content and your company ."
220,"Now while we have n't tested this ourselves ( though we admit to striking a power pose prior to writing this post ) , there could be something to this whole notion of optimizing your mind to get better results . We admit to while we have not tested this ourselves though ."
221,"So we 'd like to encourage all of you to start paying more attention to your posture and body language , making use of power poses , and above all else , to approach every writing task you face with confidence . For confidence , we would like to encourage all of you to start paying more attention to your posture and approach every else ."
222,"We believe the outcome will be better content , which in our view is well worth the two minutes of time it takes you to strike a pose . We believe the outcome will be better content , which is well worth the two minutes of time ."
223,Try it out and let us know what you think ! Try it out and let us know what you think .
224,"Editor 's note : This post is adapted from a recent presentation given by Corinne Kanaly , Senior Manager , Technical Publications , at Qualcomm during Acrolinx 's 2014 Online Conference . However , during a presentation , This post is adapted from a recent presentation given that during Acrolinx ."
225,You can access the full presentation on video . You can access the full presentation on video .
226,"When San Diego-based Qualcomm decided to transform its content to be more externally focused , members of its technical publications team knew that they had an opportunity to raise the quality of their content as well . When San Diego-based is unnecessary to be more , transform it to transform the quality of their content ."
227,"As a global designer of wireless telecommunications products and services , Qualcomm had a sizeable technical publications team of more than 150 professionals spread across the United States , India , and China . A global designer of wireless telecommunications , telecommunications , Qualcomm to United States , and United States ."
228,"Working across multiple offices , the team had developed numerous silos , each with its own standards for style and terminology . I believe across multiple offices , the team had developed numerous offices , each with style and terminology ."
229,"With the new mandate to transform their content , they saw an opportunity to change . Depending on their new opinions , they saw an opportunity to change ."
